TIPO,HORA_INICIO,COLUNA,FORCA
retangular_vermelho,18,19,0.85
retangular_vermelho,18,37,0.85
retangular_vermelho,19,40,0.85
retangular_vermelho,20,7,0.85
retangular_vermelho,20,40,0.85
retangular_vermelho,21,4,0.85
retangular_vermelho,21,31,0.85
retangular_vermelho,22,31,0.85
diagonal_principal_vermelho,0,10,0.7
diagonal_principal_vermelho,0,19,0.7
diagonal_secundaria_vermelho,0,19,0.7
diagonal_principal_vermelho,0,28,0.7
diagonal_principal_vermelho,0,34,0.7
diagonal_principal_vermelho,0,43,0.7
diagonal_principal_vermelho,1,10,0.7
diagonal_principal_vermelho,1,13,0.7
diagonal_secundaria_vermelho,1,16,0.7
diagonal_principal_vermelho,1,22,0.7
diagonal_secundaria_vermelho,1,28,0.7
diagonal_principal_vermelho,1,31,0.7
diagonal_principal_vermelho,1,37,0.7
diagonal_secundaria_vermelho,1,37,0.7
diagonal_principal_vermelho,1,43,0.7
diagonal_secundaria_vermelho,1,43,0.7
diagonal_principal_vermelho,1,52,0.7
diagonal_secundaria_vermelho,2,13,0.7
diagonal_secundaria_vermelho,2,22,0.7
diagonal_principal_vermelho,2,25,0.7
diagonal_principal_vermelho,2,34,0.7
diagonal_secundaria_vermelho,2,34,0.7
diagonal_principal_vermelho,2,40,0.7
diagonal_secundaria_vermelho,2,40,0.7
diagonal_principal_vermelho,2,46,0.7
diagonal_secundaria_vermelho,2,46,0.7
diagonal_secundaria_vermelho,2,52,0.7
diagonal_secundaria_verde,3,7,0.75
diagonal_principal_vermelho,3,10,0.7
diagonal_secundaria_vermelho,3,10,0.7
diagonal_secundaria_vermelho,3,19,0.7
diagonal_principal_vermelho,3,37,0.7
diagonal_secundaria_vermelho,3,37,0.7
diagonal_secundaria_verde,3,40,0.75
diagonal_principal_vermelho,3,43,0.7
diagonal_secundaria_vermelho,3,49,0.7
diagonal_secundaria_verde,3,52,0.75
diagonal_principal_vermelho,4,1,0.7
diagonal_secundaria_vermelho,4,7,0.7
diagonal_principal_vermelho,4,10,0.7
diagonal_secundaria_vermelho,4,10,0.7
diagonal_principal_vermelho,4,13,0.7
diagonal_secundaria_vermelho,4,16,0.7
diagonal_principal_vermelho,4,28,0.7
diagonal_secundaria_verde,4,37,0.75
diagonal_principal_vermelho,4,46,0.7
diagonal_principal_vermelho,5,4,0.7
diagonal_secundaria_vermelho,5,7,0.7
diagonal_principal_vermelho,5,16,0.7
diagonal_principal_vermelho,6,19,0.7
diagonal_secundaria_vermelho,6,34,0.7
diagonal_secundaria_vermelho,6,52,0.7
diagonal_principal_vermelho,7,22,0.7
diagonal_secundaria_vermelho,7,22,0.7
diagonal_secundaria_vermelho,7,31,0.7
diagonal_secundaria_vermelho,7,34,0.7
diagonal_principal_vermelho,7,49,0.7
diagonal_principal_vermelho,7,52,0.7
diagonal_secundaria_vermelho,7,52,0.7
diagonal_secundaria_vermelho,8,19,0.7
diagonal_principal_vermelho,8,28,0.7
diagonal_principal_vermelho,8,31,0.7
diagonal_secundaria_vermelho,8,31,0.7
diagonal_secundaria_vermelho,8,34,0.7
diagonal_principal_vermelho,8,43,0.7
diagonal_principal_vermelho,8,49,0.7
diagonal_secundaria_vermelho,8,49,0.7
diagonal_principal_vermelho,8,52,0.7
diagonal_secundaria_vermelho,9,7,0.7
diagonal_principal_vermelho,9,13,0.7
diagonal_secundaria_vermelho,9,16,0.7
diagonal_principal_vermelho,9,25,0.7
diagonal_principal_vermelho,9,34,0.7
diagonal_principal_vermelho,9,46,0.7
diagonal_secundaria_vermelho,9,46,0.7
diagonal_secundaria_vermelho,9,52,0.7
diagonal_secundaria_vermelho,10,13,0.7
diagonal_principal_vermelho,10,28,0.7
diagonal_principal_vermelho,10,43,0.7
diagonal_secundaria_vermelho,10,43,0.7
diagonal_principal_vermelho,10,52,0.7
diagonal_secundaria_vermelho,11,10,0.7
diagonal_principal_vermelho,11,13,0.7
diagonal_secundaria_vermelho,11,19,0.7
diagonal_principal_vermelho,11,31,0.7
diagonal_secundaria_vermelho,11,40,0.7
diagonal_principal_vermelho,11,49,0.7
diagonal_secundaria_vermelho,12,7,0.7
diagonal_secundaria_vermelho,12,16,0.7
diagonal_principal_vermelho,12,34,0.7
diagonal_secundaria_vermelho,12,37,0.7
diagonal_secundaria_vermelho,13,19,0.7
diagonal_principal_vermelho,13,31,0.7
diagonal_secundaria_vermelho,13,34,0.7
diagonal_principal_vermelho,13,37,0.7
diagonal_secundaria_vermelho,13,37,0.7
diagonal_principal_verde,13,40,0.75
diagonal_secundaria_verde,13,46,0.75
diagonal_principal_vermelho,14,1,0.7
diagonal_principal_vermelho,14,10,0.7
diagonal_secundaria_vermelho,14,13,0.7
diagonal_secundaria_vermelho,14,16,0.7
diagonal_principal_vermelho,14,25,0.7
diagonal_secundaria_vermelho,14,31,0.7
diagonal_principal_vermelho,14,34,0.7
diagonal_secundaria_vermelho,14,34,0.7
diagonal_secundaria_vermelho,14,40,0.7
diagonal_secundaria_verde,14,43,0.75
diagonal_secundaria_vermelho,14,46,0.7
diagonal_principal_vermelho,14,52,0.7
diagonal_principal_vermelho,15,1,0.7
diagonal_principal_vermelho,15,4,0.7
diagonal_secundaria_vermelho,15,13,0.7
diagonal_principal_vermelho,15,22,0.7
diagonal_principal_vermelho,15,25,0.7
diagonal_secundaria_vermelho,15,28,0.7
diagonal_principal_vermelho,15,31,0.7
diagonal_secundaria_vermelho,15,31,0.7
diagonal_secundaria_vermelho,15,37,0.7
diagonal_secundaria_verde,15,40,0.75
diagonal_secundaria_vermelho,15,43,0.7
diagonal_secundaria_vermelho,15,52,0.7
diagonal_principal_vermelho,16,4,0.7
diagonal_principal_vermelho,16,10,0.7
diagonal_secundaria_vermelho,16,10,0.7
diagonal_secundaria_vermelho,16,16,0.7
diagonal_principal_vermelho,16,22,0.7
diagonal_principal_vermelho,16,25,0.7
diagonal_secundaria_vermelho,16,25,0.7
diagonal_secundaria_vermelho,16,28,0.7
diagonal_principal_vermelho,16,34,0.7
diagonal_secundaria_vermelho,16,34,0.7
diagonal_secundaria_vermelho,16,52,0.7
diagonal_secundaria_vermelho,17,7,0.7
diagonal_principal_vermelho,17,13,0.7
diagonal_secundaria_vermelho,17,13,0.7
diagonal_principal_vermelho,17,16,0.7
diagonal_secundaria_vermelho,17,25,0.7
diagonal_principal_vermelho,17,28,0.7
diagonal_secundaria_vermelho,17,31,0.7
diagonal_principal_vermelho,17,37,0.7
diagonal_secundaria_vermelho,17,40,0.7
diagonal_principal_vermelho,17,49,0.7
diagonal_secundaria_vermelho,17,49,0.7
diagonal_principal_vermelho,18,4,0.7
diagonal_principal_vermelho,18,16,0.7
diagonal_principal_vermelho,18,22,0.7
diagonal_secundaria_vermelho,18,22,0.7
diagonal_secundaria_vermelho,18,28,0.7
diagonal_principal_vermelho,18,37,0.7
diagonal_secundaria_vermelho,18,37,0.7
diagonal_principal_vermelho,18,46,0.7
diagonal_secundaria_vermelho,18,46,0.7
diagonal_principal_vermelho,19,25,0.7
diagonal_secundaria_vermelho,19,25,0.7
diagonal_principal_vermelho,19,28,0.7
diagonal_principal_vermelho,19,37,0.7
diagonal_principal_vermelho,19,49,0.7
diagonal_secundaria_vermelho,20,10,0.7
diagonal_secundaria_vermelho,20,13,0.7
diagonal_secundaria_vermelho,20,22,0.7
diagonal_principal_vermelho,20,28,0.7
diagonal_principal_vermelho,20,40,0.7
diagonal_principal_vermelho,20,52,0.7
diagonal_principal_vermelho,21,4,0.7
diagonal_secundaria_vermelho,21,10,0.7
diagonal_secundaria_vermelho,21,19,0.7
diagonal_principal_verde,21,46,0.75
