HORA,DIA,CAMPEONATO,COLUNA,RESULTADO
9,0,PREMIER,30,1
9,0,PREMIER,33,0
9,0,PREMIER,36,0
9,0,PREMIER,39,0
9,0,PREMIER,42,0
9,0,PREMIER,45,0
9,0,PREMIER,48,0
9,0,PREMIER,51,1
9,0,PREMIER,54,1
9,0,PREMIER,57,0
10,0,PREMIER,0,0
10,0,PREMIER,3,0
10,0,PREMIER,6,1
10,0,PREMIER,9,0
10,0,PREMIER,12,1
10,0,PREMIER,15,1
10,0,PREMIER,18,0
10,0,PREMIER,21,0
10,0,PREMIER,24,1
10,0,PREMIER,27,0
10,0,PREMIER,30,0
10,0,PREMIER,33,1
10,0,PREMIER,36,0
10,0,PREMIER,39,0
10,0,PREMIER,42,1
10,0,PREMIER,45,0
10,0,PREMIER,48,1
10,0,PREMIER,51,0
10,0,PREMIER,54,0
10,0,PREMIER,57,1
11,0,PREMIER,0,1
11,0,PREMIER,3,0
11,0,PREMIER,6,1
11,0,PREMIER,9,0
11,0,PREMIER,12,0
11,0,PREMIER,15,0
11,0,PREMIER,18,0
11,0,PREMIER,21,1
11,0,PREMIER,24,1
11,0,PREMIER,27,1
11,0,PREMIER,30,0
11,0,PREMIER,33,1
11,0,PREMIER,36,1
11,0,PREMIER,39,1
11,0,PREMIER,42,1
11,0,PREMIER,45,1
11,0,PREMIER,48,0
11,0,PREMIER,51,0
11,0,PREMIER,54,0
11,0,PREMIER,57,0
12,0,PREMIER,0,1
12,0,PREMIER,3,0
12,0,PREMIER,6,0
12,0,PREMIER,9,1
12,0,PREMIER,12,1
12,0,PREMIER,15,1
12,0,PREMIER,18,0
12,0,PREMIER,21,1
12,0,PREMIER,24,0
12,0,PREMIER,27,1
12,0,PREMIER,30,0
12,0,PREMIER,33,0
12,0,PREMIER,36,0
12,0,PREMIER,39,0
12,0,PREMIER,42,1
12,0,PREMIER,45,1
12,0,PREMIER,48,1
12,0,PREMIER,51,1
12,0,PREMIER,54,1
12,0,PREMIER,57,0
13,0,PREMIER,0,0
13,0,PREMIER,3,1
13,0,PREMIER,6,0
13,0,PREMIER,9,0
13,0,PREMIER,12,0
13,0,PREMIER,15,1
13,0,PREMIER,18,1
13,0,PREMIER,21,0
13,0,PREMIER,24,1
13,0,PREMIER,27,1
13,0,PREMIER,30,1
13,0,PREMIER,33,1
13,0,PREMIER,36,0
13,0,PREMIER,39,1
13,0,PREMIER,42,1
13,0,PREMIER,45,1
13,0,PREMIER,48,0
13,0,PREMIER,51,1
13,0,PREMIER,54,0
13,0,PREMIER,57,0
14,0,PREMIER,0,1
14,0,PREMIER,3,0
14,0,PREMIER,6,1
14,0,PREMIER,9,0
14,0,PREMIER,12,0
14,0,PREMIER,15,1
14,0,PREMIER,18,0
14,0,PREMIER,21,0
14,0,PREMIER,24,0
14,0,PREMIER,27,0
14,0,PREMIER,30,1
14,0,PREMIER,33,1
14,0,PREMIER,36,0
14,0,PREMIER,39,0
14,0,PREMIER,42,1
14,0,PREMIER,45,0
14,0,PREMIER,48,1
14,0,PREMIER,51,0
14,0,PREMIER,54,1
14,0,PREMIER,57,0
15,0,PREMIER,0,1
15,0,PREMIER,3,0
15,0,PREMIER,6,0
15,0,PREMIER,9,1
15,0,PREMIER,12,0
15,0,PREMIER,15,1
15,0,PREMIER,18,1
15,0,PREMIER,21,0
15,0,PREMIER,24,1
15,0,PREMIER,27,1
15,0,PREMIER,30,0
15,0,PREMIER,33,1
15,0,PREMIER,36,1
15,0,PREMIER,39,0
15,0,PREMIER,42,1
15,0,PREMIER,45,0
15,0,PREMIER,48,0
15,0,PREMIER,51,0
15,0,PREMIER,54,0
15,0,PREMIER,57,0
16,0,PREMIER,0,0
16,0,PREMIER,3,0
16,0,PREMIER,6,0
16,0,PREMIER,9,1
16,0,PREMIER,12,0
16,0,PREMIER,15,1
16,0,PREMIER,18,1
16,0,PREMIER,21,0
16,0,PREMIER,24,0
16,0,PREMIER,27,1
16,0,PREMIER,30,1
16,0,PREMIER,33,1
16,0,PREMIER,36,1
16,0,PREMIER,39,0
16,0,PREMIER,42,0
16,0,PREMIER,45,0
16,0,PREMIER,48,0
16,0,PREMIER,51,1
16,0,PREMIER,54,0
16,0,PREMIER,57,1
17,0,PREMIER,0,0
17,0,PREMIER,3,1
17,0,PREMIER,6,1
17,0,PREMIER,9,1
17,0,PREMIER,12,0
17,0,PREMIER,15,1
17,0,PREMIER,18,0
17,0,PREMIER,21,0
17,0,PREMIER,24,1
17,0,PREMIER,27,0
17,0,PREMIER,30,0
17,0,PREMIER,33,0
17,0,PREMIER,36,1
17,0,PREMIER,39,0
17,0,PREMIER,42,1
17,0,PREMIER,45,0
17,0,PREMIER,48,1
17,0,PREMIER,51,1
17,0,PREMIER,54,0
17,0,PREMIER,57,0
18,0,PREMIER,0,0
18,0,PREMIER,3,0
18,0,PREMIER,6,1
18,0,PREMIER,9,0
18,0,PREMIER,12,0
18,0,PREMIER,15,0
18,0,PREMIER,18,0
18,0,PREMIER,21,1
18,0,PREMIER,24,0
18,0,PREMIER,27,0
18,0,PREMIER,30,0
18,0,PREMIER,33,1
18,0,PREMIER,36,0
18,0,PREMIER,39,1
18,0,PREMIER,42,0
18,0,PREMIER,45,1
18,0,PREMIER,48,0
18,0,PREMIER,51,1
18,0,PREMIER,54,0
18,0,PREMIER,57,0
19,0,PREMIER,0,0
19,0,PREMIER,3,0
19,0,PREMIER,6,0
19,0,PREMIER,9,1
19,0,PREMIER,12,0
19,0,PREMIER,15,0
19,0,PREMIER,18,0
19,0,PREMIER,21,1
19,0,PREMIER,24,0
19,0,PREMIER,27,0
19,0,PREMIER,30,1
19,0,PREMIER,33,0
19,0,PREMIER,36,1
19,0,PREMIER,39,0
19,0,PREMIER,42,1
19,0,PREMIER,45,0
19,0,PREMIER,48,1
19,0,PREMIER,51,1
19,0,PREMIER,54,0
19,0,PREMIER,57,0
20,0,PREMIER,0,0
20,0,PREMIER,3,1
20,0,PREMIER,6,1
20,0,PREMIER,9,0
20,0,PREMIER,12,0
20,0,PREMIER,15,1
20,0,PREMIER,18,1
20,0,PREMIER,21,0
20,0,PREMIER,24,0
20,0,PREMIER,27,0
20,0,PREMIER,30,0
20,0,PREMIER,33,1
20,0,PREMIER,36,0
20,0,PREMIER,39,1
20,0,PREMIER,42,0
20,0,PREMIER,45,1
20,0,PREMIER,48,0
20,0,PREMIER,51,1
20,0,PREMIER,54,0
20,0,PREMIER,57,0
21,0,PREMIER,0,0
21,0,PREMIER,3,1
21,0,PREMIER,6,0
21,0,PREMIER,9,0
21,0,PREMIER,12,0
21,0,PREMIER,15,1
21,0,PREMIER,18,0
21,0,PREMIER,21,0
21,0,PREMIER,24,0
21,0,PREMIER,27,1
21,0,PREMIER,30,1
21,0,PREMIER,33,0
21,0,PREMIER,36,1
21,0,PREMIER,39,0
21,0,PREMIER,42,1
21,0,PREMIER,45,0
21,0,PREMIER,48,0
21,0,PREMIER,51,0
21,0,PREMIER,54,1
21,0,PREMIER,57,1
22,0,PREMIER,0,0
22,0,PREMIER,3,1
22,0,PREMIER,6,0
22,0,PREMIER,9,0
22,0,PREMIER,12,0
22,0,PREMIER,15,1
22,0,PREMIER,18,0
22,0,PREMIER,21,1
22,0,PREMIER,24,1
22,0,PREMIER,27,0
22,0,PREMIER,30,0
22,0,PREMIER,33,1
22,0,PREMIER,36,0
22,0,PREMIER,39,0
22,0,PREMIER,42,1
22,0,PREMIER,45,0
22,0,PREMIER,48,1
22,0,PREMIER,51,0
22,0,PREMIER,54,0
22,0,PREMIER,57,0
23,0,PREMIER,0,0
23,0,PREMIER,3,1
23,0,PREMIER,6,0
23,0,PREMIER,9,1
23,0,PREMIER,12,0
23,0,PREMIER,15,0
23,0,PREMIER,18,1
23,0,PREMIER,21,1
23,0,PREMIER,24,1
23,0,PREMIER,27,0
23,0,PREMIER,30,1
23,0,PREMIER,33,1
23,0,PREMIER,36,0
23,0,PREMIER,39,0
23,0,PREMIER,42,0
23,0,PREMIER,45,0
23,0,PREMIER,48,1
23,0,PREMIER,51,0
23,0,PREMIER,54,1
23,0,PREMIER,57,0
0,1,PREMIER,0,1
0,1,PREMIER,3,1
0,1,PREMIER,6,1
0,1,PREMIER,9,1
0,1,PREMIER,12,1
0,1,PREMIER,15,0
0,1,PREMIER,18,0
0,1,PREMIER,21,1
0,1,PREMIER,24,1
0,1,PREMIER,27,1
0,1,PREMIER,30,1
0,1,PREMIER,33,0
0,1,PREMIER,36,0
0,1,PREMIER,39,1
0,1,PREMIER,42,0
0,1,PREMIER,45,0
0,1,PREMIER,48,0
0,1,PREMIER,51,0
0,1,PREMIER,54,1
0,1,PREMIER,57,0
1,1,PREMIER,0,1
1,1,PREMIER,3,0
1,1,PREMIER,6,0
1,1,PREMIER,9,0
1,1,PREMIER,12,0
1,1,PREMIER,15,0
1,1,PREMIER,18,0
1,1,PREMIER,21,0
1,1,PREMIER,24,1
1,1,PREMIER,27,0
1,1,PREMIER,30,1
1,1,PREMIER,33,1
1,1,PREMIER,36,1
1,1,PREMIER,39,0
1,1,PREMIER,42,1
1,1,PREMIER,45,1
1,1,PREMIER,48,0
1,1,PREMIER,51,1
1,1,PREMIER,54,0
1,1,PREMIER,57,0
2,1,PREMIER,0,1
2,1,PREMIER,3,0
2,1,PREMIER,6,0
2,1,PREMIER,9,0
2,1,PREMIER,12,1
2,1,PREMIER,15,0
2,1,PREMIER,18,1
2,1,PREMIER,21,1
2,1,PREMIER,24,0
2,1,PREMIER,27,0
2,1,PREMIER,30,0
2,1,PREMIER,33,1
2,1,PREMIER,36,1
2,1,PREMIER,39,1
2,1,PREMIER,42,1
2,1,PREMIER,45,0
2,1,PREMIER,48,0
2,1,PREMIER,51,1
2,1,PREMIER,54,0
2,1,PREMIER,57,0
3,1,PREMIER,0,0
3,1,PREMIER,3,0
3,1,PREMIER,6,0
3,1,PREMIER,9,1
3,1,PREMIER,12,1
3,1,PREMIER,15,0
3,1,PREMIER,18,1
3,1,PREMIER,21,1
3,1,PREMIER,24,1
3,1,PREMIER,27,0
3,1,PREMIER,30,0
3,1,PREMIER,33,1
3,1,PREMIER,36,1
3,1,PREMIER,39,1
3,1,PREMIER,42,0
3,1,PREMIER,45,0
3,1,PREMIER,48,0
3,1,PREMIER,51,0
3,1,PREMIER,54,0
3,1,PREMIER,57,0
4,1,PREMIER,0,1
4,1,PREMIER,3,0
4,1,PREMIER,6,1
4,1,PREMIER,9,0
4,1,PREMIER,12,0
4,1,PREMIER,15,1
4,1,PREMIER,18,1
4,1,PREMIER,21,0
4,1,PREMIER,24,1
4,1,PREMIER,27,0
4,1,PREMIER,30,0
4,1,PREMIER,33,0
4,1,PREMIER,36,1
4,1,PREMIER,39,1
4,1,PREMIER,42,0
4,1,PREMIER,45,0
4,1,PREMIER,48,1
4,1,PREMIER,51,1
4,1,PREMIER,54,1
4,1,PREMIER,57,0
5,1,PREMIER,0,1
5,1,PREMIER,3,0
5,1,PREMIER,6,1
5,1,PREMIER,9,0
5,1,PREMIER,12,0
5,1,PREMIER,15,1
5,1,PREMIER,18,0
5,1,PREMIER,21,0
5,1,PREMIER,24,0
5,1,PREMIER,27,1
5,1,PREMIER,30,0
5,1,PREMIER,33,0
5,1,PREMIER,36,0
5,1,PREMIER,39,0
5,1,PREMIER,42,0
5,1,PREMIER,45,1
5,1,PREMIER,48,0
5,1,PREMIER,51,0
5,1,PREMIER,54,0
5,1,PREMIER,57,0
6,1,PREMIER,0,0
6,1,PREMIER,3,0
6,1,PREMIER,6,1
6,1,PREMIER,9,0
6,1,PREMIER,12,0
6,1,PREMIER,15,0
6,1,PREMIER,18,1
6,1,PREMIER,21,1
6,1,PREMIER,24,0
6,1,PREMIER,27,0
6,1,PREMIER,30,0
6,1,PREMIER,33,0
6,1,PREMIER,36,1
6,1,PREMIER,39,0
6,1,PREMIER,42,0
6,1,PREMIER,45,1
6,1,PREMIER,48,0
6,1,PREMIER,51,0
6,1,PREMIER,54,0
6,1,PREMIER,57,1
7,1,PREMIER,0,0
7,1,PREMIER,3,1
7,1,PREMIER,6,1
7,1,PREMIER,9,0
7,1,PREMIER,12,0
7,1,PREMIER,15,0
7,1,PREMIER,18,0
7,1,PREMIER,21,0
7,1,PREMIER,24,0
7,1,PREMIER,27,0
7,1,PREMIER,30,0
7,1,PREMIER,33,0
7,1,PREMIER,36,1
7,1,PREMIER,39,0
7,1,PREMIER,42,0
7,1,PREMIER,45,1
7,1,PREMIER,48,0
7,1,PREMIER,51,0
7,1,PREMIER,54,0
7,1,PREMIER,57,0
8,1,PREMIER,0,1
8,1,PREMIER,3,0
8,1,PREMIER,6,1
8,1,PREMIER,9,1
8,1,PREMIER,12,1
8,1,PREMIER,15,0
8,1,PREMIER,18,0
8,1,PREMIER,21,0
8,1,PREMIER,24,0
8,1,PREMIER,27,1
8,1,PREMIER,30,0
8,1,PREMIER,33,1
8,1,PREMIER,36,1
8,1,PREMIER,39,0
8,1,PREMIER,42,0
8,1,PREMIER,45,0
8,1,PREMIER,48,1
8,1,PREMIER,51,0
8,1,PREMIER,54,1
8,1,PREMIER,57,1
9,1,PREMIER,0,1
9,1,PREMIER,3,1
9,1,PREMIER,6,0
9,1,PREMIER,9,1
9,1,PREMIER,12,0
9,1,PREMIER,15,1
9,1,PREMIER,18,0
9,1,PREMIER,21,0
9,1,PREMIER,24,1
9,1,PREMIER,27,1
9,1,PREMIER,30,1
9,1,PREMIER,33,0
9,1,PREMIER,36,0
9,1,PREMIER,39,0
9,1,PREMIER,42,0
9,1,PREMIER,45,0
9,1,PREMIER,48,0
9,1,PREMIER,51,0
9,1,PREMIER,54,1
9,1,PREMIER,57,1
10,1,PREMIER,0,0
10,1,PREMIER,3,1
10,1,PREMIER,6,0
10,1,PREMIER,9,0
10,1,PREMIER,12,0
10,1,PREMIER,15,0
10,1,PREMIER,18,1
10,1,PREMIER,21,0
10,1,PREMIER,24,0
10,1,PREMIER,27,0
10,1,PREMIER,30,1
10,1,PREMIER,33,0
10,1,PREMIER,36,0
10,1,PREMIER,39,0
10,1,PREMIER,42,1
10,1,PREMIER,45,1
10,1,PREMIER,48,1
10,1,PREMIER,51,0
10,1,PREMIER,54,0
10,1,PREMIER,57,0
11,1,PREMIER,0,1
11,1,PREMIER,3,0
11,1,PREMIER,6,1
11,1,PREMIER,9,1
11,1,PREMIER,12,1
11,1,PREMIER,15,1
11,1,PREMIER,18,0
11,1,PREMIER,21,0
11,1,PREMIER,24,0
11,1,PREMIER,27,0
11,1,PREMIER,30,0
11,1,PREMIER,33,1
11,1,PREMIER,36,0
11,1,PREMIER,39,1
11,1,PREMIER,42,0
11,1,PREMIER,45,1
11,1,PREMIER,48,0
11,1,PREMIER,51,0
11,1,PREMIER,54,0
11,1,PREMIER,57,0
12,1,PREMIER,0,1
12,1,PREMIER,3,0
12,1,PREMIER,6,1
12,1,PREMIER,9,0
12,1,PREMIER,12,1
12,1,PREMIER,15,1
12,1,PREMIER,18,1
12,1,PREMIER,21,0
12,1,PREMIER,24,1
12,1,PREMIER,27,0
12,1,PREMIER,30,1
12,1,PREMIER,33,0
12,1,PREMIER,36,1
12,1,PREMIER,39,1
12,1,PREMIER,42,0
12,1,PREMIER,45,0
12,1,PREMIER,48,0
12,1,PREMIER,51,0
12,1,PREMIER,54,1
12,1,PREMIER,57,0
13,1,PREMIER,0,0
13,1,PREMIER,3,0
13,1,PREMIER,6,1
13,1,PREMIER,9,1
13,1,PREMIER,12,0
13,1,PREMIER,15,0
13,1,PREMIER,18,0
13,1,PREMIER,21,0
13,1,PREMIER,24,0
13,1,PREMIER,27,1
13,1,PREMIER,30,1
13,1,PREMIER,33,0
13,1,PREMIER,36,0
13,1,PREMIER,39,1
13,1,PREMIER,42,1
13,1,PREMIER,45,0
13,1,PREMIER,48,0
13,1,PREMIER,51,1
13,1,PREMIER,54,0
13,1,PREMIER,57,1
14,1,PREMIER,0,0
14,1,PREMIER,3,1
14,1,PREMIER,6,0
14,1,PREMIER,9,0
14,1,PREMIER,12,0
14,1,PREMIER,15,0
14,1,PREMIER,18,1
14,1,PREMIER,21,0
14,1,PREMIER,24,1
14,1,PREMIER,27,1
14,1,PREMIER,30,1
14,1,PREMIER,33,1
14,1,PREMIER,36,1
14,1,PREMIER,39,0
14,1,PREMIER,42,0
14,1,PREMIER,45,0
14,1,PREMIER,48,0
14,1,PREMIER,51,1
14,1,PREMIER,54,0
14,1,PREMIER,57,0
15,1,PREMIER,0,1
15,1,PREMIER,3,1
15,1,PREMIER,6,1
15,1,PREMIER,9,0
15,1,PREMIER,12,0
15,1,PREMIER,15,0
15,1,PREMIER,18,1
15,1,PREMIER,21,1
15,1,PREMIER,24,0
15,1,PREMIER,27,0
15,1,PREMIER,30,0
15,1,PREMIER,33,0
15,1,PREMIER,36,1
15,1,PREMIER,39,1
15,1,PREMIER,42,0
15,1,PREMIER,45,0
15,1,PREMIER,48,1
15,1,PREMIER,51,1
15,1,PREMIER,54,0
15,1,PREMIER,57,0
16,1,PREMIER,0,0
16,1,PREMIER,3,0
16,1,PREMIER,6,1
16,1,PREMIER,9,1
16,1,PREMIER,12,0
16,1,PREMIER,15,0
16,1,PREMIER,18,0
16,1,PREMIER,21,0
16,1,PREMIER,24,0
16,1,PREMIER,27,0
16,1,PREMIER,30,1
16,1,PREMIER,33,1
16,1,PREMIER,36,0
16,1,PREMIER,39,0
16,1,PREMIER,42,0
16,1,PREMIER,45,1
16,1,PREMIER,48,0
16,1,PREMIER,51,1
16,1,PREMIER,54,0
16,1,PREMIER,57,0
17,1,PREMIER,0,0
17,1,PREMIER,3,0
17,1,PREMIER,6,1
17,1,PREMIER,9,1
17,1,PREMIER,12,1
17,1,PREMIER,15,1
17,1,PREMIER,18,0
17,1,PREMIER,21,0
17,1,PREMIER,24,0
17,1,PREMIER,27,0
17,1,PREMIER,30,1
17,1,PREMIER,33,0
17,1,PREMIER,36,0
17,1,PREMIER,39,0
17,1,PREMIER,42,1
17,1,PREMIER,45,0
17,1,PREMIER,48,0
17,1,PREMIER,51,0
17,1,PREMIER,54,0
17,1,PREMIER,57,1
18,1,PREMIER,0,0
18,1,PREMIER,3,0
18,1,PREMIER,6,0
18,1,PREMIER,9,1
18,1,PREMIER,12,1
18,1,PREMIER,15,0
18,1,PREMIER,18,1
18,1,PREMIER,21,1
18,1,PREMIER,24,1
18,1,PREMIER,27,0
18,1,PREMIER,30,0
18,1,PREMIER,33,1
18,1,PREMIER,36,1
18,1,PREMIER,39,1
18,1,PREMIER,42,1
18,1,PREMIER,45,1
18,1,PREMIER,48,0
18,1,PREMIER,51,1
18,1,PREMIER,54,1
18,1,PREMIER,57,0
19,1,PREMIER,0,1
19,1,PREMIER,3,0
19,1,PREMIER,6,0
19,1,PREMIER,9,1
19,1,PREMIER,12,1
19,1,PREMIER,15,1
19,1,PREMIER,18,1
19,1,PREMIER,21,1
19,1,PREMIER,24,0
19,1,PREMIER,27,1
19,1,PREMIER,30,1
19,1,PREMIER,33,0
19,1,PREMIER,36,0
19,1,PREMIER,39,1
19,1,PREMIER,42,1
19,1,PREMIER,45,0
19,1,PREMIER,48,1
19,1,PREMIER,51,1
19,1,PREMIER,54,0
19,1,PREMIER,57,1
20,1,PREMIER,0,0
20,1,PREMIER,3,1
20,1,PREMIER,6,1
20,1,PREMIER,9,1
20,1,PREMIER,12,0
20,1,PREMIER,15,0
20,1,PREMIER,18,0
20,1,PREMIER,21,1
20,1,PREMIER,24,1
20,1,PREMIER,27,1
20,1,PREMIER,30,1
20,1,PREMIER,33,0
20,1,PREMIER,36,0
20,1,PREMIER,39,0
20,1,PREMIER,42,0
20,1,PREMIER,45,0
20,1,PREMIER,48,1
20,1,PREMIER,51,1
20,1,PREMIER,54,0
20,1,PREMIER,57,0
21,1,PREMIER,0,1
21,1,PREMIER,3,0
21,1,PREMIER,6,0
21,1,PREMIER,9,0
21,1,PREMIER,12,0
21,1,PREMIER,15,1
21,1,PREMIER,18,0
21,1,PREMIER,21,0
21,1,PREMIER,24,0
21,1,PREMIER,27,1
21,1,PREMIER,30,1
21,1,PREMIER,33,1
21,1,PREMIER,36,1
21,1,PREMIER,39,0
21,1,PREMIER,42,0
21,1,PREMIER,45,1
21,1,PREMIER,48,1
21,1,PREMIER,51,0
21,1,PREMIER,54,1
21,1,PREMIER,57,0
22,1,PREMIER,0,1
22,1,PREMIER,3,1
22,1,PREMIER,6,1
22,1,PREMIER,9,1
22,1,PREMIER,12,0
22,1,PREMIER,15,0
22,1,PREMIER,18,0
22,1,PREMIER,21,1
22,1,PREMIER,24,0
22,1,PREMIER,27,0
22,1,PREMIER,30,0
22,1,PREMIER,33,0
22,1,PREMIER,36,1
22,1,PREMIER,39,0
22,1,PREMIER,42,1
22,1,PREMIER,45,1
22,1,PREMIER,48,0
22,1,PREMIER,51,1
22,1,PREMIER,54,1
22,1,PREMIER,57,0
23,1,PREMIER,0,0
23,1,PREMIER,3,1
23,1,PREMIER,6,0
23,1,PREMIER,9,0
23,1,PREMIER,12,0
23,1,PREMIER,15,0
23,1,PREMIER,18,1
23,1,PREMIER,21,0
23,1,PREMIER,24,1
23,1,PREMIER,27,0
23,1,PREMIER,30,0
23,1,PREMIER,33,0
23,1,PREMIER,36,0
23,1,PREMIER,39,0
23,1,PREMIER,42,0
23,1,PREMIER,45,0
23,1,PREMIER,48,0
23,1,PREMIER,51,0
23,1,PREMIER,54,1
23,1,PREMIER,57,1
0,2,PREMIER,0,1
0,2,PREMIER,3,0
0,2,PREMIER,6,1
0,2,PREMIER,9,1
0,2,PREMIER,12,0
0,2,PREMIER,15,1
0,2,PREMIER,18,0
0,2,PREMIER,21,0
0,2,PREMIER,24,1
0,2,PREMIER,27,0
0,2,PREMIER,30,0
0,2,PREMIER,33,0
0,2,PREMIER,36,0
0,2,PREMIER,39,1
0,2,PREMIER,42,1
0,2,PREMIER,45,1
0,2,PREMIER,48,1
0,2,PREMIER,51,0
0,2,PREMIER,54,1
0,2,PREMIER,57,1
1,2,PREMIER,0,0
1,2,PREMIER,3,1
1,2,PREMIER,6,1
1,2,PREMIER,9,0
1,2,PREMIER,12,0
1,2,PREMIER,15,1
1,2,PREMIER,18,1
1,2,PREMIER,21,0
1,2,PREMIER,24,1
1,2,PREMIER,27,0
1,2,PREMIER,30,1
1,2,PREMIER,33,0
1,2,PREMIER,36,1
1,2,PREMIER,39,1
1,2,PREMIER,42,0
